#2600:6c38:45d::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1158.462521314621

#2409:876a:5200::/39,budget:5000000
target:4999999,active:2,hitrate:4.00000080000016e-07,duration:1205.6885797977448

#2a02:26f7:c6c0::/48,budget:5000000
target:4999997,active:4931671,hitrate:0.9863347918008751,duration:1143.9920864105225

#2405:6e00:31c0::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1144.2559218406677

#2409:8d1f::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1166.4095129966736

#2401:2200:1200::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1160.9040822982788

#2001:ee0:9100::/42,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1170.6370871067047

#2605:8d80:12d8::/45,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1152.6789560317993

#2409:8914:c60::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1167.261168718338

#2804:51cc:8000::/34,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1181.4219298362732

#2001:1248:5f0b::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1150.780771970749

#2620:1fb::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1177.106585741043

#2409:8a04:600::/40,budget:5000000
target:4999999,active:1434,hitrate:0.00028680005736001147,duration:1168.2952072620392

#2c0f:f290:4000::/34,budget:5000000
target:4999991,active:1,hitrate:2.00000360000648e-07,duration:1172.7978250980377

#240e:3b9:7c00::/38,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1166.6053688526154

#2a03:6400:e::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1180.107370376587

#2800:4b0:4037::/48,budget:5000000
target:4999997,active:9,hitrate:1.800001080000648e-06,duration:1178.8791584968567

#240a:afec::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1198.3404953479767

#2406:20c0:2000::/35,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1207.7875125408173

#2a02:6ea0:2200::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1171.662410736084

#2001:df7:e480::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1136.5264711380005

#2409:8904:2220::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1147.2707641124725

#2401:4900:503a::/48,budget:5000000
target:4999997,active:5,hitrate:1.00000060000036e-06,duration:1133.8603415489197

